2026-09-07	row11-skill-substrate	1	fable	6.4	FIX-THEN-SHIP
2026-09-07	row11-skill-substrate	2	opus	7.0	FIX-THEN-SHIP
2026-09-07	row19-runs	1	fable	5.0	FIX-THEN-SHIP
2026-09-07	row19-runs	2	opus	6.3	FIX-THEN-SHIP
2026-09-07	row19-runs	2	opus	6.3	FIX-THEN-SHIP
2026-09-07	row20-roadmap-port	1	opus	6.2	FIX-THEN-SHIP
2026-09-07	row20-roadmap-port	2	fable	6.0	FIX-THEN-SHIP
2026-09-08	row18-memory-core	1	opus	6.5	FIX-THEN-SHIP
2026-09-08	row18-memory-core	2	fable	7.0	FIX-THEN-SHIP
2026-09-08	row23-memory-consolidation	1	fable	6.2	FIX-THEN-SHIP
2026-09-08	row23-memory-consolidation	1	fable	5.4	FIX-THEN-SHIP
2026-09-08	row23-memory-consolidation	2	opus	6.4	FIX-THEN-SHIP
2026-09-09	row24-memory-export	1	fable	5.8	FIX-THEN-SHIP
2026-09-09	row24-memory-export	2	opus	6.7	FIX-THEN-SHIP
2026-09-09	row25-hub-side-skill-import	1	fable	4.5	REFRAME
2026-09-09	row25-hub-side-skill-import	2	opus	6.0	FIX-THEN-SHIP
2026-09-09	docs/superpowers/plans/row28-spawn-owner-escalation.md	1	fable	5.5	FIX-THEN-SHIP
2026-09-10	row28-spawn-owner-escalation	2	opus	6.4	FIX-THEN-SHIP
2026-09-10	m29-owner-credential-peer-check	1	opus	6.5	FIX-THEN-SHIP
2026-09-10	m29-owner-credential-peer-check	2	fable	6.9	FIX-THEN-SHIP
